2026-07-01 04:29:19 | INFO     | [arbitrator.exchanges.ccxt_base:watch_open_positions:603] - Position stream started | exchange=bitget mode=ws
2026-07-01 04:29:19 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:1353] - Markets loaded | exchange=bingx count=3032
2026-07-01 04:29:19 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:209] - Streaming tickers | exchange=bingx symbols=466 mode=fanout chunks=-
2026-07-01 04:29:20 | INFO     | [arbitrator.exchanges.ccxt_base:watch_usdt_balance:635] - Balance stream started | exchange=bitget mode=ws
2026-07-01 04:29:20 | DEBUG    | [arbitrator.application.strategy_table_service:refresh:75] - strategy recompute | changed=0 symbols=0
2026-07-01 04:29:20 | INFO     | [uvicorn.server:_serve:98] - [uvicorn.error] Shutting down
2026-07-01 04:29:20 | INFO     | [arbitrator.presentation.ws.settings_ws_handler:handle:33] - ws disconnected | endpoint=/ws/settings
2026-07-01 04:29:20 | INFO     | [asyncio.events:_run:80] - [uvicorn.error] connection closed
2026-07-01 04:29:20 | INFO     | [arbitrator.presentation.ws.orders_ws_handler:handle:34] - ws disconnected | endpoint=/ws/orders
2026-07-01 04:29:20 | INFO     | [asyncio.events:_run:80] - [uvicorn.error] connection closed
2026-07-01 04:29:20 | INFO     | [asyncio.events:_run:80] - [uvicorn.error] connection closed
2026-07-01 04:29:20 | INFO     | [asyncio.tasks:wait_for:452] - [uvicorn.error] Waiting for background tasks to complete. (CTRL+C to force quit)
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:1353] - Markets loaded | exchange=bingx count=3032
2026-07-01 04:29:21 | INFO     | [arbitrator.exchanges.ccxt_base:watch_open_positions:603] - Position stream started | exchange=bingx mode=ws
2026-07-01 04:29:21 | INFO     | [arbitrator.exchanges.ccxt_base:watch_usdt_balance:635] - Balance stream started | exchange=bingx mode=ws
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:1353] - Markets loaded | exchange=bitget count=1928
2026-07-01 04:29:21 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:209] - Streaming tickers | exchange=bitget symbols=573 mode=bulk chunks=12
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:1181] - Bulk stream chunks | exchange=bitget chunks=12 chunk_size=50
2026-07-01 04:29:21 | DEBUG    | [arbitrator.application.strategy_table_service:refresh:75] - strategy recompute | changed=0 symbols=0
2026-07-01 04:29:21 | INFO     | [arbitrator.presentation.ws.screener_ws_handler:handle:43] - ws disconnected | endpoint=/ws/screener
2026-07-01 04:29:21 | INFO     | [uvicorn.server:shutdown:301] - [uvicorn.error] Waiting for application shutdown.
2026-07-01 04:29:21 | INFO     | [arbitrator.application.app_runtime:stop:55] - screener worker stopped
2026-07-01 04:29:21 | INFO     | [arbitrator.application.app_runtime:stop:58] - account worker stopped
2026-07-01 04:29:21 | INFO     | [arbitrator.application.app_runtime:stop:61] - funding worker stopped
2026-07-01 04:29:21 | INFO     | [arbitrator.presentation.fastapi_app:lifespan:45] - app lifespan stopped
2026-07-01 04:29:21 | INFO     | [uvicorn.server:shutdown:301] - [uvicorn.error] Application shutdown complete.
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1168] - Exchange closed | exchange=mexc
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1168] - Exchange closed | exchange=bitget
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1168] - Exchange closed | exchange=gate
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:1168] - Exchange closed | exchange=bingx
2026-07-01 04:29:21 | INFO     | [uvicorn.server:serve:79] - [uvicorn.error] Finished server process [20204]
2026-07-01 04:29:21 | INFO     | [arbitrator.application.funding_rate_worker:_thread_main:65] - funding worker stopped
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=0G/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=1000000BABYDOGE/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=1000000MOG/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=1000BONK/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=1000CAT/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=1INCH/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=2Z/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=4/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=A/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AAVE/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ACE/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ACH/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ACT/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ACU/USDT:USDT err=NetworkError delay_s=5.0
