2026-06-25 04:49:49 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:806] - Exchange closed | exchange=bingx
2026-06-25 04:49:49 | INFO     | [arbitrator.application.screener_stream_worker:_async_main:139] - Volume gate applied | threshold_usdt=50000.0 eligible=574 rejected=0
2026-06-25 04:49:49 | INFO     | [arbitrator.application.multi_exchange_watcher:_spawn_watchers:52] - Spawning watchers | exchanges=['mexc', 'bitget', 'gate', 'bingx'] symbols={'mexc': 553, 'bitget': 472, 'gate': 534, 'bingx': 459}
2026-06-25 04:49:49 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=mexc symbols=553
2026-06-25 04:49:49 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=mexc
2026-06-25 04:49:49 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=bitget symbols=472
2026-06-25 04:49:50 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=bitget
2026-06-25 04:49:50 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=gate symbols=534
2026-06-25 04:49:50 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=gate
2026-06-25 04:49:50 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=bingx symbols=459
2026-06-25 04:49:50 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=bingx
2026-06-25 04:49:57 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=bingx count=3026
2026-06-25 04:49:57 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=bingx symbols=459 mode=fanout chunks=-
2026-06-25 04:49:58 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=bitget count=1913
2026-06-25 04:49:58 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=bitget symbols=472 mode=bulk chunks=10
2026-06-25 04:49:58 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:819] - Bulk stream chunks | exchange=bitget chunks=10 chunk_size=50
2026-06-25 04:49:59 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=mexc count=3238
2026-06-25 04:49:59 | DEBUG    | [arbitrator.exchanges.mexc:watch_tickers:52] - watch_tickers skipped non-api contracts | exchange=mexc skipped=3
2026-06-25 04:49:59 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=mexc symbols=550 mode=bulk chunks=11
2026-06-25 04:49:59 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:819] - Bulk stream chunks | exchange=mexc chunks=11 chunk_size=50
2026-06-25 04:50:06 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=gate count=5987
2026-06-25 04:50:06 | DEBUG    | [arbitrator.exchanges.gate:watch_tickers:52] - watch_tickers skipped non-tradable contracts | exchange=gate skipped=3
2026-06-25 04:50:06 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=gate symbols=531 mode=bulk chunks=11
2026-06-25 04:50:06 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:819] - Bulk stream chunks | exchange=gate chunks=11 chunk_size=50
