2026-06-25 02:45:39 | INFO     | [__main__:<module>:16] - Arbitrator starting | exchanges=['mexc', 'bitget', 'gate', 'bingx']
2026-06-25 02:45:40 | INFO     | [arbitrator.presentation.streamlit_app:run:104] - UI run | section=Screener
2026-06-25 02:45:48 | INFO     | [__main__:<module>:16] - Arbitrator starting | exchanges=['mexc', 'bitget', 'gate', 'bingx']
2026-06-25 02:45:48 | INFO     | [arbitrator.presentation.streamlit_app:run:104] - UI run | section=Screener
2026-06-25 02:45:48 | INFO     | [arbitrator.presentation.sidebar.screener.screener_view:render:75] - Screener reconnect requested from UI
2026-06-25 02:45:48 | INFO     | [__main__:<module>:16] - Arbitrator starting | exchanges=['mexc', 'bitget', 'gate', 'bingx']
2026-06-25 02:45:48 | INFO     | [arbitrator.presentation.streamlit_app:run:104] - UI run | section=Screener
2026-06-25 02:45:49 | INFO     | [arbitrator.presentation.sidebar.screener.screener_view:_ensure_worker:204] - Screener background worker started | nonce=1 stream_volume_usdt=50000.0
2026-06-25 02:45:49 | INFO     | [arbitrator.application.symbol_universe_service:_filter:111] - Universe filtered | total=1395 after_min_exchanges=728 after_exclusions=727
2026-06-25 02:45:49 | INFO     | [arbitrator.application.screener_stream_worker:_discovery_phase:150] - Volume discovery started | symbols=727 threshold_usdt=50000.0 timeout_s=30.0
2026-06-25 02:45:49 | INFO     | [arbitrator.application.multi_exchange_watcher:_spawn_watchers:52] - Spawning watchers | exchanges=['mexc', 'bitget', 'gate', 'bingx'] symbols={'mexc': 582, 'bitget': 596, 'gate': 661, 'bingx': 473}
2026-06-25 02:45:49 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=mexc symbols=582
2026-06-25 02:45:49 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=mexc
2026-06-25 02:45:49 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=bitget symbols=596
2026-06-25 02:45:49 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=bitget
2026-06-25 02:45:49 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=gate symbols=661
2026-06-25 02:45:50 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=gate
2026-06-25 02:45:50 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=bingx symbols=473
2026-06-25 02:45:50 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=bingx
2026-06-25 02:45:55 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=bitget count=1913
2026-06-25 02:45:55 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=bitget symbols=596 mode=bulk chunks=12
2026-06-25 02:45:55 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:819] - Bulk stream chunks | exchange=bitget chunks=12 chunk_size=50
2026-06-25 02:45:59 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=bingx count=3026
2026-06-25 02:45:59 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=bingx symbols=473 mode=fanout chunks=-
2026-06-25 02:46:00 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=mexc count=3238
2026-06-25 02:46:00 | DEBUG    | [arbitrator.exchanges.mexc:watch_tickers:52] - watch_tickers skipped non-api contracts | exchange=mexc skipped=32
2026-06-25 02:46:00 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=mexc symbols=550 mode=bulk chunks=11
2026-06-25 02:46:00 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:819] - Bulk stream chunks | exchange=mexc chunks=11 chunk_size=50
2026-06-25 02:46:15 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=gate count=5987
2026-06-25 02:46:15 | DEBUG    | [arbitrator.exchanges.gate:watch_tickers:52] - watch_tickers skipped non-tradable contracts | exchange=gate skipped=5
2026-06-25 02:46:15 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=gate symbols=656 mode=bulk chunks=14
2026-06-25 02:46:15 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:819] - Bulk stream chunks | exchange=gate chunks=14 chunk_size=50
2026-06-25 02:46:19 | INFO     | [arbitrator.application.screener_stream_worker:_discovery_phase:177] - Volume discovery timed out | eligible=590 pending=137
2026-06-25 02:46:19 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:86] - Watcher cancelled | exchange=mexc
2026-06-25 02:46:19 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:86] - Watcher cancelled | exchange=bitget
2026-06-25 02:46:19 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:86] - Watcher cancelled | exchange=gate
2026-06-25 02:46:19 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:86] - Watcher cancelled | exchange=bingx
2026-06-25 02:46:20 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:806] - Exchange closed | exchange=mexc
2026-06-25 02:46:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:806] - Exchange closed | exchange=bitget
2026-06-25 02:46:21 | INFO     | [starlette.middleware.errors:_send:161] - [uvicorn.access] 127.0.0.1:58339 - "GET /_stcore/health HTTP/1.1" 200
2026-06-25 02:46:21 | INFO     | [starlette.middleware.errors:_send:161] - [uvicorn.access] 127.0.0.1:58340 - "GET /_stcore/host-config HTTP/1.1" 200
2026-06-25 02:46:21 | INFO     | [starlette.middleware.sessions:send_wrapper:86] - [uvicorn.error] 127.0.0.1:58343 - "WebSocket /_stcore/stream" [accepted]
2026-06-25 02:46:22 | INFO     | [asyncio.events:_run:80] - [uvicorn.error] connection closed
2026-06-25 02:46:22 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:806] - Exchange closed | exchange=gate
2026-06-25 02:46:22 | INFO     | [starlette.middleware.sessions:send_wrapper:86] - [uvicorn.error] 127.0.0.1:58367 - "WebSocket /_stcore/stream" [accepted]
2026-06-25 02:46:22 | INFO     | [websockets.legacy.server:handler:161] - [uvicorn.error] connection open
2026-06-25 02:46:22 | DEBUG    | [arbitrator.exchanges.ccxt_base:close:806] - Exchange closed | exchange=bingx
2026-06-25 02:46:22 | INFO     | [arbitrator.application.screener_stream_worker:_async_main:124] - Volume gate applied | threshold_usdt=50000.0 eligible=590 rejected=0
2026-06-25 02:46:22 | INFO     | [arbitrator.application.multi_exchange_watcher:_spawn_watchers:52] - Spawning watchers | exchanges=['mexc', 'bitget', 'gate', 'bingx'] symbols={'mexc': 556, 'bitget': 488, 'gate': 550, 'bingx': 465}
2026-06-25 02:46:22 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=mexc symbols=556
2026-06-25 02:46:23 | INFO     | [__main__:<module>:16] - Arbitrator starting | exchanges=['mexc', 'bitget', 'gate', 'bingx']
2026-06-25 02:46:23 | INFO     | [arbitrator.presentation.streamlit_app:run:104] - UI run | section=Screener
2026-06-25 02:46:23 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=mexc
2026-06-25 02:46:23 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=bitget symbols=488
2026-06-25 02:46:23 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=bitget
2026-06-25 02:46:23 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=gate symbols=550
2026-06-25 02:46:24 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=gate
2026-06-25 02:46:24 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:72] - Watcher start | exchange=bingx symbols=465
2026-06-25 02:46:24 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:931] - Exchange client opened | exchange=bingx
2026-06-25 02:46:31 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=bitget count=1913
2026-06-25 02:46:31 | INFO     | [arbitrator.exchanges.ccxt_base:watch_tickers:160] - Streaming tickers | exchange=bitget symbols=488 mode=bulk chunks=10
2026-06-25 02:46:31 | DEBUG    | [arbitrator.exchanges.ccxt_base:_stream_bulk:819] - Bulk stream chunks | exchange=bitget chunks=10 chunk_size=50
2026-06-25 02:46:31 | DEBUG    | [arbitrator.exchanges.ccxt_base:_ensure_markets_loaded:948] - Markets loaded | exchange=bingx count=3026
